Unique Id,Parent,Yname,Ylink,assignment,name,REF
YT54,react,Frontend Day 24-State management with context & reducer,https://www.youtube.com/watch?v=-8cLLjMV118&t=3167s,https://csb-icndo.netlify.app/,Take Home Assignment 23,
YT55,react,"Frontend Day 25-Bootstrap Concept & Usage
",https://www.youtube.com/watch?v=IoY70galcN4,,,
YT56,redux,"Frontend Day 26-Redux Basics | Counter State | Reducers
",https://www.youtube.com/watch?v=NZ6HP9hDoww,https://devsnest.netlify.app/day26,Take Home Assignment 24,
YT57,redux,"Frontend Day 27-Middleware | Async State: Redux Thunk
",https://www.youtube.com/watch?v=_MBZz1eaYE8,,,
YT58,redux,"Frontend Day 28-Project with Redux | Part 1
",https://www.youtube.com/watch?v=McemfEdx2bM,,,
YT59,redux,Frontend Day 29-Project with Redux | Part 2,https://www.youtube.com/watch?v=Y-Wpa1BheGM,https://programmergaurav.me/weather-app/,Take Home Assignment 24,
YT60,redux,Frontend Day 30-Ecommerce Project | Part 1,https://www.youtube.com/watch?v=Xu98MSCCa5g,https://redux-ecart-bleeding-edege.netlify.app/,Take Home Assignment 25,
YT61,redux,Frontend Day 31-Ecommerce Project | Part 2,https://www.youtube.com/watch?v=N4gmbBlJBMc,https://redux-ecart-bleeding-edege.netlify.app//,Take Home Assignment 26,
YT62,typescript,Frontend Day 32-TypeScript Basics,https://www.youtube.com/watch?v=8ry3ZpPT9mw,,,
YT63,typescript,Frontend Day 33-Hooks with TypeScript | Part 1,https://www.youtube.com/watch?v=6ncBNS-F4lU,,,
YT64,typescript,Frontend Day 34-Redux with TypeScript,https://www.youtube.com/watch?v=Nbkluf8Hcig,,,
YT65,typescript,Frontend Day 35-Instagram Clone,https://www.youtube.com/watch?v=j1xsalZjYQw,,,